category,run,BCM2_I,Nnet,Nnet_err,norm_factor,yield,yield_err,BCM2_Q_mC,comp_livetime,h_esing_Eff,boil_corr,ps_choice,ps_factor,PeakCenterNs,CoinLoNs,CoinHiNs,RandomWindowListNs,rootfile,status,fit_included,fit_excluded_reason
signal,24428,7.95,144.787,6.12973,0.0753853,10.9149,0.462092,13.322,1,0.9985,1.00278,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24428_-1.root",OK,1,""
signal,24429,8.084,148.838,6.33861,0.069598,10.3588,0.441155,14.429,1,0.9986,1.00282,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24429_-1.root",OK,1,""
signal,24430,7.776,142.725,6.08078,0.0767501,10.9542,0.466701,13.083,1,0.9986,1.00272,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24430_-1.root",OK,1,""
signal,24431,7.921,153.75,6.27047,0.0743297,11.4282,0.466082,13.507,1,0.9988,1.00277,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24431_-1.root",OK,1,""
signal,24432,7.911,137.513,6.06446,0.075258,10.3489,0.456399,13.335,1,0.9992,1.00276,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24432_-1.root",OK,1,""
signal,24433,8.055,174.675,6.67268,0.0666568,11.6433,0.44478,15.061,1,0.9989,1.00281,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24433_-1.root",OK,1,""
signal,24434,8.065,162.525,6.46329,0.070102,11.3933,0.453089,14.318,1,0.9991,1.00282,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24434_-1.root",OK,1,""
signal,24435,8.075,159.45,6.44171,0.0695459,11.0891,0.447994,14.434,1,0.999,1.00282,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24435_-1.root",OK,1,""
signal,24436,8.058,155.213,6.39493,0.0687377,10.669,0.439573,14.608,1,0.9987,1.00282,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24436_-1.root",OK,1,""
signal,24437,8.074,161.25,6.41458,0.069675,11.2351,0.446936,14.413,1,0.9986,1.00282,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24437_-1.root",OK,1,""
signal,24501,7.963,127.838,5.80112,0.0793556,10.1446,0.460351,12.653,1,0.9987,1.00278,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24501_-1.root",OK,1,""
signal,24502,8.026,152.212,6.28626,0.0721757,10.986,0.453715,13.912,1,0.9987,1.0028,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24502_-1.root",OK,1,""
signal,24503,8.161,153.187,6.37665,0.069017,10.5725,0.440097,14.564,1,0.9977,1.00285,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24503_-1.root",OK,1,""
signal,24504,8.007,148.012,6.17704,0.0760396,11.2548,0.469699,13.205,1,0.9987,1.0028,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24504_-1.root",OK,1,""
signal,24505,8.049,147.375,6.23561,0.0723958,10.6693,0.451432,13.874,1,0.9984,1.00281,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24505_-1.root",OK,1,""
signal,24506,8.156,163.013,6.47274,0.0701408,11.4338,0.454003,14.322,1,0.9983,1.00285,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24506_-1.root",OK,1,""
signal,24507,8.036,132.6,6.05877,0.0741906,9.83768,0.449504,13.541,1,0.9982,1.00281,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_24507_-1.root",OK,1,""
#FIT,fit_const,fit_const_err,chi2,ndf,chi2_ndf,prob,n_fit_points
#FIT,10.8744,0.109839,20.2838,16,1.26774,0.207708,17
