category,run,BCM2_I,yield,yield_err,shms34_rate_kHz,rootfile,status
signal,25363,38.165,72.2503,0.498089,559.879,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25363_-1.root",OK
signal,25364,45.688,72.5287,0.465808,668.508,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25364_-1.root",OK
signal,25365,22.243,76.3358,0.580341,330.851,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25365_-1.root",OK
signal,25366,21.11,74.8212,0.822635,314.128,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25366_-1.root",OK
signal,25379,56.205,71.6545,0.542945,814.143,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25379_-1.root",OK
signal,25380,29.013,73.8791,0.520334,428.716,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25380_-1.root",OK
# FIT_MODEL,pol0
# FIT_C,73.3016237221
# FIT_Cerr,0.222650767112
# FIT_chi2,48.3903107366
# FIT_ndf,5
# FIT_chi2ndf,9.67806214731
# FIT_prob,2.95644763845e-09
