category,run,BCM2_I,BCM2_Q_mC,hms_elclean_counts,hms_elclean_counts_per_mC,hms_elclean_counts_per_mC_err,yield,yield_err,rootfile,status
signal,24734,50.571,74.41,1482409,19922.17444,16.36261519,1.21261,0.0559843,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24734_-1.root",OK
signal,24736,51.647,92.877,1848392,19901.50414,14.63823993,nan,nan,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24736_-1.root",OK
signal,24737,51.705,48.649,967278,19882.79307,20.21630297,1.2337,0.070164,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24737_-1.root",OK
signal,24738,53.277,107.03,2146979,20059.60011,13.69015524,1.18484,0.0467427,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24738_-1.root",OK
signal,24739,49.43,98.504,1977374,20074.04775,14.27547419,1.26121,0.0491874,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24739_-1.root",OK
signal,24740,52.465,99.1,1981912,19999.11201,14.20589267,1.26685,0.0496412,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24740_-1.root",OK
signal,24741,52.564,96.298,1926382,20004.38223,14.41298512,1.26633,0.0502437,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24741_-1.root",OK
signal,24742,51.191,115.7,2321343,20063.46586,13.16849973,1.26577,0.0454022,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24742_-1.root",OK
signal,24743,49.859,95.861,1916135,19988.68153,14.44012979,1.29226,0.0504096,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24743_-1.root",OK
signal,24744,51.183,14.005,279947,19989.07533,37.77937733,1.43808,0.135215,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24744_-1.root",OK
signal,24745,48.415,65.65,1313970,20014.77532,17.46055301,1.25755,0.0604836,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24745_-1.root",OK
signal,24746,51.818,92.724,1851284,19965.53212,14.67385981,1.21916,0.0501128,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24746_-1.root",OK
signal,24747,35.865,68.257,1381959,20246.40696,17.22266614,1.21393,0.0564043,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24747_-1.root",OK
signal,24748,17.239,34.457,704513,20446.15027,24.35942557,1.14458,0.0739864,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24748_-1.root",OK
signal,24766,49.617,91.465,1826234,19966.47898,14.77485656,1.25499,0.0512229,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24766_-1.root",OK
signal,24767,51.862,95.647,1908582,19954.43663,14.44388623,1.32168,0.0509437,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24767_-1.root",OK
signal,24768,46.046,90.451,1805591,19962.08997,14.85580937,1.19676,0.0500952,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24768_-1.root",OK
signal,24769,48.934,38.201,762090,19949.47776,22.85222018,1.31386,0.08051,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24769_-1.root",OK
signal,24770,51.264,147.41,2944635,19975.81575,11.64095978,1.31896,0.0410207,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24770_-1.root",OK
signal,24772,55.698,100.77,2005157,19898.35268,14.05215504,1.23415,0.0486397,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24772_-1.root",OK
signal,24773,35.073,61.213,1237605,20218.00925,18.17386774,1.16983,0.0582923,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24773_-1.root",OK
signal,24774,17.944,32.194,656606,20395.29105,25.16966781,1.21424,0.0792506,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24774_-1.root",OK
# FIT_MODEL,pol0
# FIT_c,20015.7577464
# FIT_cerr,3.37149097024
# FIT_chi2,1169.60976437
# FIT_ndf,21
# FIT_chi2ndf,55.6957030653
# FIT_prob,1.82740571785e-234
