category,run,BCM2_I,BCM2_Q_mC,hms_elclean_counts,hms_elclean_counts_per_mC,hms_elclean_counts_per_mC_err,yield,yield_err,rootfile,status
signal,24960,8.437,2.497,670575,268552.2627,327.9481133,83.2989,2.72106,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24960_-1.root",OK
signal,24961,8.188,14.735,3955179,268420.699,134.9686585,90.779,1.14569,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24961_-1.root",OK
signal,24962,8.081,13.816,3704747,268149.0301,139.3147028,88.783,1.17418,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24962_-1.root",OK
signal,24964,7.914,14.873,3992504,268439.723,134.3458025,91.9788,1.14453,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24964_-1.root",OK
signal,24965,3.917,9.197,2490309,270774.0568,171.5854399,96.9691,1.37902,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24965_-1.root",OK
signal,24966,3.98,7.413,2004919,270459.8678,191.0092572,94.0297,1.51781,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24966_-1.root",OK
signal,24998,7.987,15.896,4263983,268242.5138,129.9032086,89.8759,1.09762,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24998_-1.root",OK
signal,24999,7.992,15.687,4209064,268315.4204,130.7834736,89.4744,1.10383,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24999_-1.root",OK
signal,25000,3.971,7.825,2118794,270772.3962,186.0201632,94.3838,1.47889,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25000_-1.root",OK
signal,25001,3.996,7.169,1940392,270664.2488,194.3059758,91.6953,1.52961,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25001_-1.root",OK
signal,25007,8.052,14.904,3995708,268096.35,134.1201498,92.6228,1.1455,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25007_-1.root",OK
signal,25008,7.888,1.961,526950,268714.9414,370.1750219,86.6434,3.0758,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25008_-1.root",OK
# FIT_MODEL,pol0
# FIT_c,268887.920816
# FIT_cerr,46.2005249752
# FIT_chi2,505.951031348
# FIT_ndf,11
# FIT_chi2ndf,45.9955483043
# FIT_prob,1.72539850202e-101
