category,run,BCM2_I,Nnet,Nnet_err,norm_factor,yield,yield_err,BCM2_Q_mC,comp_livetime,h_esing_Eff,boil_corr,ps_choice,ps_factor,PeakCenterNs,CoinLoNs,CoinHiNs,RandomWindowListNs,rootfile,status,fit_included,fit_excluded_reason
signal,25423,58.879,1073.44,13.4161,0.00947211,10.1677,0.127079,107.99,1,0.9984,1.02126,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25423_-1.root",OK,1,""
signal,25424,54.634,1006.91,12.98,0.0101086,10.1785,0.131211,101.24,1,0.9981,1.02145,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25424_-1.root",OK,1,""
signal,25425,58.848,1024.12,13.103,0.00977904,10.015,0.128135,104.68,1,0.9984,1.02203,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25425_-1.root",OK,1,""
signal,25426,55.6,967.988,12.7416,0.0103269,9.99627,0.13158,99.25,1,0.9985,1.0234,"ps6",1,51.275,50.275,52.275,"42.275-44.275;58.275-60.275;38.275-40.275;62.275-64.275","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25426_-1.root",OK,1,""
signal,25427,57.485,978.075,12.795,0.0100044,9.78505,0.128007,102.41,1,0.9982,1.02271,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25427_-1.root",OK,1,""
signal,25428,59.955,1156.01,13.9424,0.00853581,9.86751,0.11901,119.85,1,0.9983,1.02128,"ps5",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25428_-1.root",OK,1,""
signal,25429,29.633,532.462,9.21165,0.0190391,10.1376,0.175381,53.505,1,0.9983,1.01695,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25429_-1.root",OK,1,""
signal,25430,28.765,486.3,8.78589,0.0202196,9.83278,0.177647,50.401,1,0.9982,1.01725,"ps6",1,51.125,50.125,52.125,"42.125-44.125;58.125-60.125;38.125-40.125;62.125-64.125","./Skimmed_ROOTfiles/skimmed_coin_replay_production_25430_-1.root",OK,1,""
#FIT,fit_const,fit_const_err,chi2,ndf,chi2_ndf,prob,n_fit_points
#FIT,9.99575,0.0479736,9.16014,7,1.30859,0.241362,8
