category,run,BCM2_I,BCM2_Q_mC,hms_elclean_counts,hms_elclean_counts_per_mC,yield,yield_err,rootfile,status
signal,24611,33.247,6.686,262271,39226.89201,8.5108,0.565188,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24611_-1.root",OK
signal,24612,38.607,69.538,2726607,39210.31666,8.51453,0.173354,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24612_-1.root",OK
signal,24613,37.769,68.34,2683009,39259.71613,8.41578,0.173635,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24613_-1.root",OK
signal,24614,36.268,65.437,2572094,39306.41686,8.87088,0.180675,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24614_-1.root",OK
signal,24615,38.531,67.148,2644451,39382.4239,8.52236,0.17669,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24615_-1.root",OK
signal,24616,39.451,66.697,2626448,39378.80264,8.43999,0.17572,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24616_-1.root",OK
signal,24617,39.469,68.174,2684602,39378.67809,8.5233,0.175862,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24617_-1.root",OK
signal,24618,38.992,60.605,2381564,39296.49369,8.39664,0.184775,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24618_-1.root",OK
signal,24619,25.56,21.692,853569,39349.48368,7.28664,0.263261,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24619_-1.root",OK
signal,24620,27.659,2.871,112896,39322.88401,8.61424,0.822453,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24620_-1.root",OK
signal,24621,27.141,45.812,1792226,39121.32192,8.54548,0.20115,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24621_-1.root",OK
signal,24622,12.804,21.991,861311,39166.52267,9.70283,0.281844,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24622_-1.root",OK
signal,24666,40.978,91.799,3582780,39028.52972,8.57662,0.151582,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24666_-1.root",OK
signal,24667,38.045,61.065,2387390,39095.88144,8.76575,0.185909,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24667_-1.root",OK
signal,24668,39.576,71.187,2784003,39108.30629,8.49452,0.171224,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24668_-1.root",OK
signal,24669,38.904,71.803,2810567,39142.7517,8.69256,0.171748,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24669_-1.root",OK
signal,24670,36.047,65.257,2554754,39149.1181,8.58201,0.178399,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24670_-1.root",OK
signal,24671,40.04,68.536,2679961,39102.96778,8.46277,0.17376,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24671_-1.root",OK
signal,24672,27.486,61.967,2427748,39178.07865,8.9541,0.176632,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24672_-1.root",OK
signal,24673,14.006,25.782,1012612,39275.92894,9.55088,0.259481,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_24673_-1.root",OK
# FIT_MODEL,pol0
# FIT_c,39224.0757448
# FIT_cerr,24.3628130179
# FIT_chi2,225547.730096
# FIT_ndf,19
# FIT_chi2ndf,11870.9331629
# FIT_prob,0
