category,run,BCM2_I,yield,yield_err,hms34_rate_kHz,shms34_rate_kHz,total34_rate_kHz,rootfile,status
signal,25010,25.778,37.9823,0.400518,41.273,874.033,915.306,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25010_-1.root",OK
signal,25011,26.2,38.3495,0.396492,41.95,889.632,931.582,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25011_-1.root",OK
signal,25012,13.074,39.6123,0.546778,20.995,447.94,468.935,"./Skimmed_ROOTfiles/skimmed_coin_replay_production_25012_-1.root",OK
# FIT_MODEL,pol0
# FIT_C,38.4708831479
# FIT_Cerr,0.250471738228
# FIT_chi2,5.93961801496
# FIT_ndf,2
# FIT_chi2ndf,2.96980900748
# FIT_prob,0.0513131098162
